City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
22,Kamenka,RU,2022-03-23 13:34:07,51.3223,42.7678,32.86,100,100,5.91
23,Hindupur,IN,2022-03-23 13:38:49,13.8289,77.4933,86.85,36,100,7.65
24,Mar Del Plata,AR,2022-03-23 13:37:52,-38.0023,-57.5575,76.08,100,75,5.75
25,La Rioja,ES,2022-03-23 13:38:50,42.25,-2.5,42.58,69,96,9.55
26,Porto Santo,PT,2022-03-23 13:38:50,33.072,-16.3415,62.98,59,20,20.71
27,Altay,CN,2022-03-23 13:38:50,47.8667,88.1167,13.51,79,25,6.15
28,Avarua,CK,2022-03-23 13:37:47,-21.2078,-159.775,78.85,89,40,4.61
29,Esna,EG,2022-03-23 13:38:51,25.2934,32.554,69.82,14,0,16.11
30,Avera,US,2022-03-23 13:38:51,33.194,-82.5271,66.25,84,100,17.52
31,Fare,PF,2022-03-23 13:38:51,-16.7,-151.0167,80.29,74,62,10.33
32,Albany,US,2022-03-23 13:38:52,42.6001,-73.9662,35.67,55,100,1.01
33,Hilo,US,2022-03-23 13:36:46,19.7297,-155.09,71.33,89,100,5.01
34,Ushuaia,AR,2022-03-23 13:34:22,-54.8,-68.3,40.66,75,40,6.91
35,Puerto Ayora,EC,2022-03-23 13:34:42,-0.7393,-90.3518,80.55,90,40,7.0
36,Qaanaaq,GL,2022-03-23 13:38:52,77.484,-69.3632,-5.06,96,100,7.02
37,Nikolskoye,RU,2022-03-23 13:38:53,59.7035,30.7861,42.69,84,4,4.56
38,Rikitea,PF,2022-03-23 13:38:57,-23.1203,-134.9692,78.87,73,83,11.45
39,Santa Cruz,BO,2022-03-23 13:38:36,-17.8,-63.1667,78.85,78,75,17.27
40,Hobart,AU,2022-03-23 13:38:58,-42.8794,147.3294,55.26,71,96,10.36
41,Ilhabela,BR,2022-03-23 13:38:58,-23.7781,-45.3581,78.15,65,2,8.95
42,Constitucion,CL,2022-03-23 13:38:58,-35.3333,-72.4167,56.01,80,78,14.67
43,Cape Town,ZA,2022-03-23 13:35:01,-33.9258,18.4232,81.1,57,0,16.11
44,Bengkulu,ID,2022-03-23 13:38:59,-3.8004,102.2655,78.8,79,57,2.86
45,Busselton,AU,2022-03-23 13:38:59,-33.65,115.3333,62.73,64,0,13.78
46,Bhola,BD,2022-03-23 13:39:59,22.6833,90.65,82.9,62,89,15.32
47,Bambous Virieux,MU,2022-03-23 13:40:00,-20.3428,57.7575,84.45,74,40,6.91
48,Sao Joao Da Barra,BR,2022-03-23 13:40:00,-21.6403,-41.0511,80.69,57,30,6.87
49,Flinders,AU,2022-03-23 13:40:00,-34.5833,150.8552,67.17,81,100,3.0
50,Husavik,IS,2022-03-23 13:40:01,66.0449,-17.3389,31.42,75,29,9.91
51,Rocha,UY,2022-03-23 13:40:01,-34.4833,-54.3333,74.1,66,82,7.49
52,Hofn,IS,2022-03-23 13:40:01,64.2539,-15.2082,37.42,87,75,12.66
53,Arraial Do Cabo,BR,2022-03-23 13:40:02,-22.9661,-42.0278,80.56,61,40,12.66
54,Beachwood,US,2022-03-23 13:39:44,41.4645,-81.5087,46.9,73,100,24.16
55,Iqaluit,CA,2022-03-23 13:40:02,63.7506,-68.5145,-6.07,71,100,0.0
56,San Pedro,PH,2022-03-23 13:40:03,14.35,121.0167,85.35,78,20,5.75
57,Akyab,MM,2022-03-23 13:40:03,20.15,92.9,79.14,82,97,7.09
58,Mahebourg,MU,2022-03-23 13:40:03,-20.4081,57.7,84.49,74,40,6.91
59,Ribeira Grande,PT,2022-03-23 13:40:04,38.5167,-28.7,63.0,59,75,3.44
60,Monze,ZM,2022-03-23 13:40:04,-16.2833,27.4833,70.86,78,81,2.55
61,Beloha,MG,2022-03-23 13:40:04,-25.1667,45.05,84.81,52,6,17.63
62,Itanagar,IN,2022-03-23 13:40:05,27.1,93.6167,77.11,36,3,4.97
63,Atuona,PF,2022-03-23 13:40:05,-9.8,-139.0333,78.71,78,100,14.56
64,Hirara,JP,2022-03-23 13:40:05,24.8,125.2833,66.09,76,100,25.7
65,Georgetown,MY,2022-03-23 13:35:54,5.4112,100.3354,84.13,92,20,6.91
66,Fairbanks,US,2022-03-23 13:39:28,64.8378,-147.7164,6.76,59,100,10.36
67,Dikson,RU,2022-03-23 13:40:06,73.5069,80.5464,10.49,90,100,12.8
68,Tukrah,LY,2022-03-23 13:40:06,32.5341,20.5791,51.35,82,100,6.87
69,Kahului,US,2022-03-23 13:37:06,20.8947,-156.47,74.84,79,0,17.27
70,Cabo San Lucas,MX,2022-03-23 13:39:55,22.8909,-109.9124,66.51,47,0,3.44
71,Vaini,TO,2022-03-23 13:40:07,-21.2,-175.2,73.56,100,100,3.44
72,Kushima,JP,2022-03-23 13:40:07,31.4583,131.2333,48.83,93,10,5.1
73,Provideniya,RU,2022-03-23 13:40:08,64.3833,-173.3,8.02,68,9,3.8
74,Hamilton,US,2022-03-23 13:36:53,39.1834,-84.5333,64.6,69,100,16.11
75,Krasnoselkup,RU,2022-03-23 13:40:08,65.7,82.4667,10.83,97,98,6.64
76,Pak Phanang,TH,2022-03-23 13:40:08,8.3511,100.202,82.42,74,9,2.75
77,Mastung,PK,2022-03-23 13:40:09,29.7994,66.845,67.68,15,0,18.68
78,Akdepe,TM,2022-03-23 13:40:09,42.0551,59.3788,42.89,45,100,8.55
79,Bredasdorp,ZA,2022-03-23 13:40:09,-34.5322,20.0403,77.14,64,80,15.32
80,Hermanus,ZA,2022-03-23 13:40:10,-34.4187,19.2345,81.81,79,96,17.07
81,Zabol,AF,2022-03-23 13:40:10,32.25,67.25,63.93,18,0,13.31
82,Bluff,NZ,2022-03-23 13:40:10,-46.6,168.3333,58.06,91,100,8.1
83,Guerrero Negro,MX,2022-03-23 13:40:11,27.9769,-114.0611,59.13,77,0,7.16
84,Opunake,NZ,2022-03-23 13:40:11,-39.4556,173.8583,61.84,88,100,5.03
85,Butaritari,KI,2022-03-23 13:40:11,3.0707,172.7902,80.92,78,76,14.9
86,San Cristobal,VE,2022-03-23 13:35:45,7.7669,-72.225,68.18,52,83,6.15
87,Ngaoundere,CM,2022-03-23 13:40:12,7.3167,13.5833,91.44,12,97,5.37
88,Khatanga,RU,2022-03-23 13:40:12,71.9667,102.5,2.37,97,100,4.43
89,Lokosovo,RU,2022-03-23 13:40:13,61.1333,74.8167,18.27,97,100,2.66
90,Fort Nelson,CA,2022-03-23 13:35:52,58.8053,-122.7002,15.39,86,100,2.3
91,Barrow,US,2022-03-23 13:40:13,71.2906,-156.7887,-20.18,76,0,12.66
92,Itarema,BR,2022-03-23 13:41:13,-2.9248,-39.9167,80.4,79,100,8.28
93,Faanui,PF,2022-03-23 13:41:14,-16.4833,-151.75,80.38,74,70,9.24
94,Svetlogorsk,BY,2022-03-23 13:41:14,52.6333,29.7333,56.84,39,0,6.82
