,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Ambilobe,MG,-13.2,49.05,75.15,96,10,2.3,clear sky
213,Lockhart,US,28.6194,-81.4426,80.28,35,0,17.27,clear sky
214,Bahar,IR,34.9072,48.4414,32.16,59,20,6.91,few clouds
215,Bartica,GY,6.4,-58.6167,86.32,57,100,7.11,overcast clouds
216,Fare,PF,-16.7,-151.0167,81.7,73,67,13.35,broken clouds
217,Lasa,IT,46.6166,10.7002,49.69,69,5,0.6,clear sky
218,Gravdal,NO,68.1214,13.5031,28.29,80,75,2.3,broken clouds
219,Vrangel,RU,42.7297,133.0839,34.41,88,2,7.9,clear sky
220,Ilulissat,GL,69.2167,-51.1,15.82,67,75,0.0,broken clouds
221,Iguape,BR,-24.7081,-47.5553,81.28,78,100,9.31,overcast clouds
222,Qasigiannguit,GL,68.8193,-51.1922,16.05,79,100,2.19,overcast clouds
223,Mocuba,MZ,-16.8392,36.9856,75.9,92,100,4.23,overcast clouds
224,Mubende,UG,0.5606,31.39,63.82,96,78,1.68,moderate rain
225,Puerto Ayora,EC,-0.7393,-90.3518,80.56,73,63,9.89,broken clouds
226,Kalmunai,LK,7.4167,81.8167,78.66,84,9,5.88,clear sky
227,Coihaique,CL,-45.5752,-72.0662,64.35,42,75,6.91,light intensity shower rain
228,Sur,OM,22.5667,59.5289,82.44,39,0,10.65,clear sky
229,Say,NE,13.1007,2.3689,99.16,10,16,10.78,few clouds
230,Haines Junction,CA,60.7522,-137.5108,33.75,51,100,0.0,overcast clouds
231,Mormugao,IN,15.4,73.8,83.46,74,40,6.91,scattered clouds
232,Nantucket,US,41.2835,-70.0995,51.91,81,100,11.5,light rain
233,Tricase,IT,39.9304,18.3553,49.35,80,10,7.25,clear sky
234,Kuusamo,FI,65.9667,29.1833,15.84,53,0,12.66,clear sky
235,Urumqi,CN,43.801,87.6005,38.35,52,0,2.24,clear sky
236,High Rock,BS,26.6208,-78.2833,73.42,55,0,14.99,clear sky
237,Kodiak,US,57.79,-152.4072,38.71,81,75,0.0,broken clouds
238,Takoradi,GH,4.8845,-1.7554,82.31,77,100,8.68,overcast clouds
239,Saint-Denis,FR,48.9167,2.3333,62.15,34,0,11.5,clear sky
